,,,,,,Ratings,(Out of 10),,,,,,,,
,Travel Time (mins),Menu Link,Comments,Median Rating,Price Bin,Lord Commander,Honorable Vice Chairman,Soondae rights activist,Indian Hangi Enthusiast,Window Man,Disgraced Economist,Food Bureau Investigation,Energy Chairman,Absentee,
APPROVED (7 or above),,,,,,,,,,,,,,,
Aroy,4,https://aroy.co.nz/Eatery/images/2020AroyEateryMenu.pdf,Thai food.,"=IFERROR(MEDIAN(G4:N4,VLOOKUP(F4,$C$42:$D$47,2,FALSE)),"""")",Average,7,8,7,5,8.5,8,8,,7,
BannSang Korean,8,https://www.zomato.com/auckland/bannsang-high-street/menu,Normal korean food. Nothing special but solid.,"=IFERROR(MEDIAN(G5:N5,VLOOKUP(F5,$C$42:$D$47,2,FALSE)),"""")",Average,,8,8,9,8,9,9,,9,
Burger Burger (Commercial Bay),4,https://burgerburger.co.nz/menu/,"Chilli sauce $1 add on with pan fried fish taco, quite good, mexican burger is lit","=IFERROR(MEDIAN(G6:N6,VLOOKUP(F6,$C$42:$D$47,2,FALSE)),"""")",Average-High,8.5,9,8,8,8.5,8,8,,8,
Cinta,4,https://www.cintamalaysianrestaurant.co.nz/menu/,"Quality Malaysian food. ""It's better than Pappa Rich"" - Snid","=IFERROR(MEDIAN(G15:N15,VLOOKUP(F15,$C$42:$D$47,2,FALSE)),"""")",Cheap-Average,,8,,,,,7,,,
Lowbrow,7,https://static1.squarespace.com/static/59b08f79ccc5c56aaeba19be/t/5e413036d8d2da072eb151c8/1581330509953/Lowbrow+Fast+Food+Web.pdf,The fried cake is good.,"=IFERROR(MEDIAN(G8:N8,VLOOKUP(F8,$C$42:$D$47,2,FALSE)),"""")",Average-High,5,9,8,9.5,8,10,8,,9,
Mexico,4,https://static1.squarespace.com/static/573cf4cfd210b81ec50d5a62/t/5f67c60bea19332049edf6a4/1600636445002/Sept_Menu_mainFood_a3.pdf,"Free side with Westpac pass, doesn't open until 12","=IFERROR(MEDIAN(G9:N9,VLOOKUP(F9,$C$42:$D$47,2,FALSE)),"""")",Average,,9,8,7,7,7,9,,9,
Panda (Queens Rise),7,https://static1.squarespace.com/static/5af1649b4611a0bf8c124f4c/t/5f0b8526687d657c9eab3a34/1594590504361/Panda+Menu+130720.pdf,"Dumplings + noodles are good, don’t get the lunch special","=IFERROR(MEDIAN(G10:N10,VLOOKUP(F10,$C$42:$D$47,2,FALSE)),"""")",Cheap-Average,6,7,7.5,,7,9,,,7,
Pizza Club,13,,For when you really want Indian Pizza.,"=IFERROR(MEDIAN(G11:N11,VLOOKUP(F11,$C$42:$D$47,2,FALSE)),"""")",Average-High,8,8,7.5,8,,6,8.5,,,
,,,,"=IFERROR(MEDIAN(G12:N12,VLOOKUP(F12,$C$42:$D$47,2,FALSE)),"""")",,,,,,,,,,,
CONSIDERATION,,,,"=IFERROR(MEDIAN(G13:N13,VLOOKUP(F13,$C$42:$D$47,2,FALSE)),"""")",,,,,,,,,,,
,,,,,,,,,,,,,,,
Eden Noodles,12,,,,Cheap-Average,,7,,,,,7,6,,
Rafters (Level 3),1,https://wnzl.sharepoint.com/sites/Properties/SitePages/Westpac-on-Takutai-Square.aspx,,"=IFERROR(MEDIAN(G16:N16,VLOOKUP(F16,$C$42:$D$47,2,FALSE)),"""")",Cheap,7,7,6.5,6,6.5,7,7,,5,
Juke Joint,4,https://23123303-4d48-48e3-b675-94c8cc5c600d.filesusr.com/ugd/ac34c1_54fe77c27b8d40deac5224d2e26c7712.pdf,,"=IFERROR(MEDIAN(G17:N17,VLOOKUP(F17,$C$42:$D$47,2,FALSE)),"""")",Average-High,7,7,,7,,7,,,,
Tanpopo Ramen (Symonds St),4,https://www.tanpoporamen.co.nz/en/menu/index.html,,"=IFERROR(MEDIAN(G18:N18,VLOOKUP(F18,$C$42:$D$47,2,FALSE)),"""")",Average,6,,,,,,,,,
